"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","12,698.45","12,958.52","12,958.73","12,543.24","1.27B","-1.47%"
"01/05/2021","12,818.96","12,665.65","12,828.27","12,665.65","1.21B","0.95%"
"01/06/2021","12,740.79","12,666.15","12,909.63","12,649.99","1.45B","-0.61%"
"01/07/2021","13,067.48","12,867.34","13,090.91","12,867.34","1.25B","2.56%"
"01/08/2021","13,201.98","13,160.22","13,208.09","13,036.55","1.33B","1.03%"
"01/11/2021","13,036.43","13,048.78","13,138.27","12,999.51","1.24B","-1.25%"
"01/12/2021","13,072.43","13,062.06","13,105.04","12,963.92","1.25B","0.28%"
"01/13/2021","13,128.95","13,088.01","13,171.15","13,051.07","1.27B","0.43%"
"01/14/2021","13,112.64","13,174.75","13,220.16","13,098.41","1.21B","-0.12%"
"01/15/2021","12,998.50","13,099.90","13,139.83","12,949.76","1.26B","-0.87%"
"01/19/2021","13,197.18","13,132.73","13,206.86","13,078.70","1.22B","1.53%"
"01/20/2021","13,457.25","13,342.55","13,486.13","13,329.77","1.29B","1.97%"
"01/21/2021","13,530.92","13,521.48","13,560.35","13,454.08","1.34B","0.55%"
"01/22/2021","13,543.06","13,474.81","13,567.14","13,463.66","1.13B","0.09%"
"01/25/2021","13,635.99","13,681.21","13,728.98","13,368.68","1.43B","0.69%"
"01/26/2021","13,626.07","13,681.72","13,702.69","13,603.19","1.25B","-0.07%"
"01/27/2021","13,270.60","13,486.58","13,538.42","13,192.91","2.19B","-2.61%"
"01/28/2021","13,337.16","13,323.29","13,507.64","13,316.52","2.16B","0.50%"
"01/29/2021","13,070.69","13,284.72","13,322.00","12,985.05","1.78B","-2.00%"
"02/01/2021","13,403.39","13,226.18","13,431.46","13,132.47","1.39B","2.55%"
"02/02/2021","13,612.78","13,543.10","13,652.69","13,535.86","1.43B","1.56%"
"02/03/2021","13,610.54","13,718.31","13,723.83","13,585.34","1.36B","-0.02%"
"02/04/2021","13,777.74","13,674.06","13,778.42","13,631.62","1.29B","1.23%"
"02/05/2021","13,856.30","13,824.88","13,878.16","13,761.66","1.26B","0.57%"
"02/08/2021","13,987.64","13,937.06","13,987.74","13,894.15","1.61B","0.95%"
"02/09/2021","14,007.70","13,966.82","14,044.95","13,966.55","1.52B","0.14%"
"02/10/2021","13,972.53","14,093.35","14,109.12","13,845.47","1.83B","-0.25%"
"02/11/2021","14,025.77","14,045.21","14,058.91","13,916.84","1.98B","0.38%"
"02/12/2021","14,095.47","13,979.21","14,102.04","13,937.71","1.32B","0.50%"
"02/16/2021","14,047.50","14,152.22","14,175.11","13,995.45","1.49B","-0.34%"
"02/17/2021","13,965.50","13,911.65","13,976.43","13,804.26","1.35B","-0.58%"
"02/18/2021","13,865.36","13,814.67","13,905.96","13,714.35","1.24B","-0.72%"
"02/19/2021","13,874.47","13,929.20","13,985.58","13,842.60","1.31B","0.07%"
"02/22/2021","13,533.05","13,714.20","13,757.06","13,530.96","1.37B","-2.46%"
"02/23/2021","13,465.20","13,262.61","13,526.09","13,003.98","1.64B","-0.50%"
"02/24/2021","13,597.97","13,400.25","13,607.36","13,286.59","1.24B","0.99%"
"02/25/2021","13,119.43","13,512.64","13,602.86","13,066.38","1.33B","-3.52%"
"02/26/2021","13,192.35","13,232.90","13,368.06","13,024.53","1.44B","0.56%"
"03/01/2021","13,588.83","13,406.16","13,596.59","13,362.66","1.10B","3.01%"
"03/02/2021","13,358.79","13,599.45","13,601.33","13,352.00","1.08B","-1.69%"
"03/03/2021","12,997.75","13,336.25","13,372.52","12,995.07","1.16B","-2.70%"
"03/04/2021","12,723.47","12,953.99","13,068.71","12,553.96","1.58B","-2.11%"
"03/05/2021","12,920.15","12,860.04","12,941.21","12,397.05","1.56B","1.55%"
"03/08/2021","12,609.16","12,904.26","13,001.00","12,599.23","1.27B","-2.41%"
"03/09/2021","13,073.82","12,923.07","13,151.54","12,882.49","1.28B","3.69%"
"03/10/2021","13,068.83","13,234.73","13,277.10","13,035.44","1.22B","-0.04%"
"03/11/2021","13,398.67","13,273.31","13,433.62","13,246.33","1.19B","2.52%"
"03/12/2021","13,319.86","13,222.81","13,324.69","13,158.72","1.09B","-0.59%"
"03/15/2021","13,459.71","13,323.47","13,460.35","13,272.50","1.13B","1.05%"
"03/16/2021","13,471.57","13,523.17","13,620.71","13,397.08","1.10B","0.09%"
"03/17/2021","13,525.20","13,336.92","13,595.00","13,272.69","1.18B","0.40%"
"03/18/2021","13,116.17","13,349.20","13,384.46","13,101.92","1.22B","-3.02%"
"03/19/2021","13,215.24","13,119.90","13,252.37","13,039.45","2.93B","0.76%"
"03/22/2021","13,377.54","13,278.78","13,455.64","13,278.78","1.11B","1.23%"
"03/23/2021","13,227.70","13,381.43","13,405.15","13,202.43","1.19B","-1.12%"
"03/24/2021","12,961.89","13,289.24","13,292.92","12,961.35","1.19B","-2.01%"
"03/25/2021","12,977.68","12,844.58","13,021.86","12,786.81","1.17B","0.12%"
"03/26/2021","13,138.72","12,996.03","13,149.55","12,878.72","1.14B","1.24%"
"03/29/2021","13,059.65","13,103.97","13,143.41","12,968.16","1.06B","-0.60%"
"03/30/2021","13,045.39","13,008.80","13,075.75","12,922.57","983.51M","-0.11%"
"03/31/2021","13,246.87","13,122.57","13,325.54","13,118.38","1.21B","1.54%"
"04/01/2021","13,480.11","13,414.33","13,487.08","13,404.18","939.16M","1.76%"
"04/05/2021","13,705.59","13,594.90","13,720.58","13,582.75","916.61M","1.67%"
"04/06/2021","13,698.38","13,681.67","13,776.71","13,674.28","870.63M","-0.05%"
"04/07/2021","13,688.84","13,675.30","13,733.03","13,653.58","819.48M","-0.07%"
"04/08/2021","13,829.31","13,796.89","13,830.14","13,758.71","870.91M","1.03%"
"04/09/2021","13,900.19","13,787.01","13,905.41","13,748.35","785.76M","0.51%"
"04/12/2021","13,850.00","13,854.44","13,877.00","13,783.95","894.01M","-0.36%"
"04/13/2021","13,996.10","13,902.45","14,011.51","13,902.45","839.45M","1.05%"
"04/14/2021","13,857.84","14,004.08","14,033.63","13,839.04","812.85M","-0.99%"
"04/15/2021","14,038.76","13,983.23","14,049.13","13,970.42","867.56M","1.31%"
"04/16/2021","14,052.34","14,059.11","14,062.50","13,977.05","962.78M","0.10%"
"04/19/2021","13,914.77","13,984.58","14,041.79","13,842.57","907.06M","-0.98%"
"04/20/2021","13,786.27","13,894.46","13,927.67","13,698.67","875.27M","-0.92%"
"04/21/2021","13,950.22","13,745.77","13,951.35","13,706.86","819.76M","1.19%"
"04/22/2021","13,818.41","13,952.57","14,015.87","13,771.04","871.28M","-0.94%"
"04/23/2021","14,016.81","13,861.37","14,062.74","13,856.83","843.30M","1.44%"
"04/26/2021","14,138.78","14,052.38","14,154.03","14,019.50","867.75M","0.87%"
"04/27/2021","14,090.22","14,170.91","14,171.24","14,064.28","871.20M","-0.34%"
"04/28/2021","14,051.03","14,082.78","14,133.65","14,034.70","861.23M","-0.28%"
"04/29/2021","14,082.55","14,204.51","14,211.57","13,952.80","994.15M","0.22%"
"04/30/2021","13,962.68","13,970.73","14,084.76","13,941.63","1.02B","-0.85%"
"05/03/2021","13,895.12","14,031.77","14,042.12","13,881.51","919.69M","-0.48%"
"05/04/2021","13,633.50","13,774.51","13,795.57","13,485.59","1.09B","-1.88%"
"05/05/2021","13,582.42","13,731.13","13,753.05","13,553.93","909.08M","-0.37%"
"05/06/2021","13,632.84","13,557.83","13,635.74","13,439.39","1.04B","0.37%"
"05/07/2021","13,752.24","13,723.09","13,828.62","13,690.75","873.19M","0.88%"
"05/10/2021","13,401.86","13,687.59","13,687.93","13,401.75","1.02B","-2.55%"
"05/11/2021","13,389.43","13,115.85","13,423.31","13,107.67","983.05M","-0.09%"
"05/12/2021","13,031.68","13,215.49","13,288.61","13,002.53","985.26M","-2.67%"
"05/13/2021","13,124.99","13,150.94","13,247.87","13,007.24","986.83M","0.72%"
"05/14/2021","13,429.98","13,255.65","13,460.88","13,242.97","854.90M","2.32%"
"05/17/2021","13,379.05","13,368.80","13,399.17","13,265.40","799.86M","-0.38%"
"05/18/2021","13,303.64","13,416.90","13,485.34","13,299.92","852.73M","-0.56%"
"05/19/2021","13,299.74","13,078.19","13,304.61","13,072.23","879.29M","-0.03%"
"05/20/2021","13,535.74","13,356.63","13,563.52","13,355.71","810.41M","1.77%"
"05/21/2021","13,470.99","13,616.19","13,616.58","13,463.26","786.55M","-0.48%"
"05/24/2021","13,661.17","13,557.21","13,708.85","13,551.01","730.82M","1.41%"
"05/25/2021","13,657.17","13,721.54","13,751.14","13,631.80","823.66M","-0.03%"
"05/26/2021","13,738.00","13,693.94","13,750.16","13,679.59","819.71M","0.59%"
"05/27/2021","13,736.28","13,742.58","13,776.52","13,701.62","1.41B","-0.01%"
"05/28/2021","13,748.74","13,792.05","13,820.87","13,747.61","911.24M","0.09%"
"06/01/2021","13,736.48","13,829.06","13,836.17","13,678.76","884.82M","-0.09%"
"06/02/2021","13,756.33","13,743.24","13,775.89","13,689.74","996.75M","0.14%"
"06/03/2021","13,614.51","13,655.75","13,684.13","13,548.93","1.02B","-1.03%"
"06/04/2021","13,814.49","13,697.25","13,826.82","13,692.01","806.24M","1.47%"
"06/07/2021","13,881.72","13,802.82","13,889.11","13,784.89","916.97M","0.49%"
"06/08/2021","13,924.91","13,946.32","13,981.72","13,831.98","1.17B","0.31%"
"06/09/2021","13,911.75","13,980.23","14,003.50","13,906.45","1.09B","-0.09%"
"06/10/2021","14,020.33","13,933.88","14,031.19","13,904.40","929.35M","0.78%"
"06/11/2021","14,069.42","14,030.85","14,069.42","14,006.59","824.12M","0.35%"
"06/14/2021","14,174.14","14,083.47","14,175.45","14,056.67","895.43M","0.74%"
"06/15/2021","14,072.86","14,166.64","14,171.02","14,052.16","880.03M","-0.71%"
"06/16/2021","14,039.68","14,085.55","14,129.69","13,903.73","981.27M","-0.24%"
